provider,url,postcode,plan_name,speed_mbps,monthly_price_gbp,upfront_fee_gbp,contract_months,scraped_at,card_text_sample,row_id
nowtv.com,https://www.nowtv.com/broadband,TW8 0FD,nload speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broa,300,30.0,0.0,,2025-10-17 16:24:36+00:00,Average download speed 300 Mb/s NOW Full Fibre 300 Full Fibre - The UK's most reliable broadband technology 300 Mb/s estimated download speed and 40 Mb/s estimated upload speed Wall to Wall WiFi Guarantee - WiFi in every room or money back …,b91d4e4318e1
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,-Fi depends on location. Properties outside eligible locations will not be abl,3,8.0,,,2025-10-17 16:24:36+00:00,Total Home Wi-Fi Eligibility for TalkTalk plans with Total Home Wi-Fi depends on location. Properties outside eligible locations will not be able to receive Total Home Wi-Fi. The Total Home Wi-Fi add-on is an upgrade available to all custom…,629df09ae164
bt.com,https://www.bt.com/broadband,TW8 0FD,"ever you throw at it New Full Fibre is rolling out across the nation, built on t",900,100.0,,,2025-10-17 16:24:36+00:00,"An ultra-reliable connection, whatever you throw at it New Full Fibre is rolling out across the nation, built on the UK’s most reliable broadband tech. It can connect over 100 devices, so you can be sure it’ll keep up with you. Now and in t…",38fb9a9b160e
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,ue across all our plans. Full Fibre Great deals on our most reliable broadband e,65,25.0,,,2025-10-17 16:24:36+00:00,"Broadband Compare deals Deals built with you in mind, with great value across all our plans. Full Fibre Great deals on our most reliable broadband ever, starting from £25 a month. Online security Keeping you and your loved ones safe online …",2d59fe2c8df4
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,"Full Fibre deals at mind-blowing prices Big speed, bigger re",900,30.0,,,2025-10-17 16:24:36+00:00,"Full Fibre deals at mind-blowing prices Big speed, bigger reliability, all at a mind-blowing price. 900 Mbps for £30 a month . Increasing to £33 from April 2026 | £36 from April 2027. New customer Existing customer Check availability Find y…",4d0989eb559c
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 150 150 Mbps Great for working from home Connect,150,25.0,25.0,24.0,2025-10-17 16:24:36+00:00,Full Fibre 150 150 Mbps Great for working from home Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £25 £26 per month Increasing to £28 from April 2026 then…,01d3e70a36ac
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 500 500 Mbps Great for streamers and busy homes C,500,30.0,30.0,24.0,2025-10-17 16:24:36+00:00,Full Fibre 500 500 Mbps Great for streamers and busy homes Connect up to 128 devices Wi-Fi Hub 3 - Wi-Fi 6 & Mesh tech HomeSafe - built-in online security 24 month contract No setup fee from £30 £31.95 per month Increasing to £33 from April…,9a19ac913188
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Full Fibre 65 65 Mbps Great for browsing Connect up to 15 de,65,26.0,26.0,24.0,2025-10-17 16:24:36+00:00,Full Fibre 65 65 Mbps Great for browsing Connect up to 15 devices Wi-Fi Hub included HomeSafe - built-in online security 24 month contract No setup fee from £26 £27 per month Increasing to £29 from April 2026 then to £32 in April 2027 Check…,8efcbb7bd315
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Fibre 35 35 Mbps Great for streaming music Ideal for 3-,35,26.0,26.0,24.0,2025-10-17 16:24:36+00:00,Fibre 35 35 Mbps Great for streaming music Ideal for 3-5 devices Wi-Fi Hub included HomeSafe - built-in online security 24 month contract No setup fee from £26 £28 per month Increasing to £29 from April 2026 then to £32 in April 2027 Check …,60c24d3ac53c
talktalk.co.uk,https://www.talktalk.co.uk/,TW8 0FD,Small Print (22 items) Fibre 35 From £26.00 a month. Increasing to £29.00 from,290,26.0,26.0,24.0,2025-10-17 16:24:36+00:00,"Small Print (22 items) Fibre 35 From £26.00 a month. Increasing to £29.00 from April 2026 then to £32.00 in April 2027, on a 24 month contract with no set up fees. See www.talktalk.co.uk/legal/annual-price-change for more details. This plan…",adbbd3527a4f
